스타일대분류,스타일소분류,맥주명,양조장명,제조국가명,도수,평균점수,리뷰수,평가수,현재상태,Full Name,Astringent,Body,Alcoholic,Bitter,Sweet,Sour,Salty,Fruity,Hoppy,Spices,Malty
Pale Ales,American Pale Ale,Derivative: Galaxy,Proclamation Ale Company,United States,6,4.3,81,284,Active,Derivative: Galaxy Proclamation Ale Company,17,27,10,58,28,43,1,62,79,2,36
Pale Ales,American Pale Ale,Cardinal Pale Ale,Nebraska Brewing Company Production Brewery & Tap Room,United States,5.75,3.67,82,282,Active,Cardinal Pale Ale Nebraska Brewing Company Production Brewery & Tap Room,21,46,9,55,81,75,2,126,75,1,33
Pale Ales,American Pale Ale,Pale Joe,Founders Brewing Company,United States,5.4,3.92,90,265,Active,Pale Joe Founders Brewing Company,12,32,5,38,40,35,0,41,57,5,52
Pale Ales,American Pale Ale,Devil's Ale,SanTan Brewing Co.,United States,5.5,3.69,76,279,Active,Devil's Ale SanTan Brewing Co.,11,41,5,87,29,20,0,28,42,6,98
Pale Ales,American Pale Ale,Southern Pale Ale,Natty Greene's Pub & Brewing Co.,United States,5.3,3.59,96,257,Active,Southern Pale Ale Natty Greene's Pub & Brewing Co.,8,32,4,48,34,26,2,35,63,3,48
Pale Ales,American Pale Ale,Camp Wannamango,Harpoon Brewery & Beer Hall,United States,5,3.66,63,288,Active,Camp Wannamango Harpoon Brewery & Beer Hall,6,13,2,24,6,10,2,15,33,0,17
Pale Ales,American Pale Ale,4² (Four Squared),Real Ale Brewing Company,United States,5.6,3.93,45,306,Active,4² (Four Squared) Real Ale Brewing Company,6,11,5,23,30,21,0,59,24,0,13
Pale Ales,American Pale Ale,Tropical Pale Ale,Boulevard Brewing Co.,United States,5.9,3.76,85,265,Active,Tropical Pale Ale Boulevard Brewing Co.,30,37,8,55,56,52,0,73,71,5,18
Pale Ales,American Pale Ale,Rain In Blood Orange Pale Ale,Dark Horse Brewing Company,United States,5,3.53,59,290,Active,Rain In Blood Orange Pale Ale Dark Horse Brewing Company,17,23,9,31,75,88,3,111,35,0,13
Pale Ales,American Pale Ale,Little Creatures Pale Ale,Little Creatures Brewing Company,Australia,5.2,4.01,163,183,Active,Little Creatures Pale Ale Little Creatures Brewing Company,12,38,13,25,29,65,0,72,25,1,50
Pale Ales,American Pale Ale,Present Moment,Tree House Brewing Company,United States,5.4,4.23,45,295,Active,Present Moment Tree House Brewing Company,22,29,4,43,46,40,0,48,69,2,41
Pale Ales,American Pale Ale,LA-31 Bière Pâle,Bayou Teche Brewery,United States,5.7,3.44,90,246,Active,LA-31 Bière Pâle Bayou Teche Brewery,20,52,12,38,94,88,0,139,65,1,23
Pale Ales,American Pale Ale,Closure,Greenbush Brewing Company,United States,5.8,3.62,53,279,Active,Closure Greenbush Brewing Company,13,33,3,21,44,48,1,66,38,6,15
Pale Ales,American Pale Ale,Sneak Box,Kane Brewing Company,United States,5.4,4.31,100,232,Active,Sneak Box Kane Brewing Company,16,20,12,36,30,25,2,33,50,4,41
Pale Ales,American Pale Ale,Sumner,Hill Farmstead Brewery,United States,5.2,4.25,47,280,Active,Sumner Hill Farmstead Brewery,23,30,10,53,39,30,0,41,73,8,47
Pale Ales,American Pale Ale,Galaxy Pale Ale,New England Brewing Co.,United States,4.8,4.27,47,278,Active,Galaxy Pale Ale New England Brewing Co.,35,46,3,65,84,83,2,140,76,4,32
Pale Ales,American Pale Ale,Cowiche Canyon Organic Fresh Hop Ale,Fremont Brewing Company,United States,6,4.38,85,238,Active,Cowiche Canyon Organic Fresh Hop Ale Fremont Brewing Company,27,30,9,49,37,54,1,76,75,4,22
Pale Ales,American Pale Ale,Hopdinger,O'so Brewing Company & Tap House,United States,5.4,3.56,108,211,Active,Hopdinger O'so Brewing Company & Tap House,29,30,4,51,47,52,1,73,67,3,15
Pale Ales,American Pale Ale,Fresh Hop Mirror Pond,Deschutes Brewery,United States,5,3.9,143,174,Active,Fresh Hop Mirror Pond Deschutes Brewery,14,27,8,46,32,24,1,33,72,2,43
Pale Ales,American Pale Ale,Naked Pig Pale Ale,Back Forty Beer Co.,United States,6,3.5,60,254,Active,Naked Pig Pale Ale Back Forty Beer Co.,19,25,6,60,34,39,0,46,75,4,38
Pale Ales,American Pale Ale,HHG APA,Central Waters Brewing Co.,United States,5.3,4.07,57,255,Active,HHG APA Central Waters Brewing Co.,14,15,8,29,21,19,0,28,35,1,36
Pale Ales,American Pale Ale,Citra Pale Ale,El Segundo Brewing Company,United States,5.5,3.83,47,264,Active,Citra Pale Ale El Segundo Brewing Company,11,18,3,50,39,39,2,54,66,2,41
Pale Ales,American Pale Ale,Small Bird Series: Skimpy Sparrow,Trillium Brewing Company,United States,5.4,4.28,50,260,Active,Small Bird Series: Skimpy Sparrow Trillium Brewing Company,41,41,6,64,40,60,1,93,69,2,37
Pale Ales,American Pale Ale,Mountain Livin',Crazy Mountain Brewery,United States,5.7,3.37,71,239,Active,Mountain Livin' Crazy Mountain Brewery,19,43,6,44,59,77,1,123,63,1,23
Pale Ales,American Pale Ale,Hoptical Illusion Almost Pale Ale,Flying Monkeys Craft Brewery,Canada,5,3.75,117,183,Active,Hoptical Illusion Almost Pale Ale Flying Monkeys Craft Brewery,6,46,10,46,43,28,0,36,77,8,57
Pale Ales,American Pale Ale,Fort Point Pale Ale - Enigma Dry Hopped,Trillium Brewing Company,United States,6.6,4.36,42,258,Active,Fort Point Pale Ale - Enigma Dry Hopped Trillium Brewing Company,7,18,1,43,32,26,0,33,63,1,43
Pale Ales,American Pale Ale,Mega Mix Pale Ale,MIA Beer Co.,United States,6,4.07,63,235,Active,Mega Mix Pale Ale MIA Beer Co.,18,37,1,44,85,58,1,128,67,2,23
Pale Ales,American Pale Ale,The Juice,Peak Organic Brewing Company,United States,5.6,4.02,73,221,Active,The Juice Peak Organic Brewing Company,9,12,5,31,36,32,0,54,51,4,26
Pale Ales,American Pale Ale,First Drop,Upper Pass Beer Company,United States,5.9,4.13,65,226,Active,First Drop Upper Pass Beer Company,33,39,16,51,65,85,1,128,78,4,25
Pale Ales,American Pale Ale,Pale Ale,Palmetto Brewing Company,United States,5.2,3.48,105,186,Active,Pale Ale Palmetto Brewing Company,14,15,9,32,47,43,2,65,60,5,19
Pale Ales,American Pale Ale,Pale Ale,Santa Fe Brewing Company,United States,5.4,3.47,137,143,Active,Pale Ale Santa Fe Brewing Company,13,12,5,33,16,26,1,35,42,2,26
Pale Ales,American Pale Ale,Field 41,Bale Breaker Brewing Company,United States,5.2,4.01,60,219,Active,Field 41 Bale Breaker Brewing Company,12,32,6,40,13,6,3,8,53,1,35
Pale Ales,American Pale Ale,Pale Ale,Pisgah Brewing Co.,United States,5.1,3.82,94,184,Active,Pale Ale Pisgah Brewing Co.,21,35,9,65,44,40,6,61,94,0,47
Pale Ales,American Pale Ale,Photon,Equilibrium Brewery,United States,4.8,4.1,73,198,Active,Photon Equilibrium Brewery,10,15,3,26,20,21,0,26,31,0,34
Pale Ales,American Pale Ale,Copperhead Pale Ale,Free State Brewing Co.,United States,6,3.79,78,192,Active,Copperhead Pale Ale Free State Brewing Co.,28,50,6,45,69,77,0,138,49,1,37
Pale Ales,American Pale Ale,Iron Mike Pale Ale,Moat Mountain Smoke House & Brewing Co.,United States,5.6,3.69,80,190,Active,Iron Mike Pale Ale Moat Mountain Smoke House & Brewing Co.,16,19,7,43,34,28,2,36,71,4,45
Pale Ales,American Pale Ale,Kipling,Thornbridge Brewery,United Kingdom,5.2,3.98,114,155,Active,Kipling Thornbridge Brewery,8,31,9,45,34,29,1,40,67,1,63
Pale Ales,American Pale Ale,Mango Mosaic,Breckenridge Brewery,United States,5.5,3.73,65,203,Active,Mango Mosaic Breckenridge Brewery,16,24,7,29,19,25,2,30,39,0,23
Pale Ales,American Pale Ale,Stump Knocker Pale Ale,Swamp Head Brewery,United States,5.5,3.89,46,221,Active,Stump Knocker Pale Ale Swamp Head Brewery,25,22,6,39,41,42,0,90,56,6,20
Pale Ales,American Pale Ale,Small Bird Series: Tiny Chicken,Trillium Brewing Company,United States,5.6,4.21,42,220,Active,Small Bird Series: Tiny Chicken Trillium Brewing Company,15,19,7,39,21,23,1,34,48,0,28
Pale Ales,American Pale Ale,Goose Summer Ale,Goose Island Beer Co.,United States,5,3.69,42,218,Active,Goose Summer Ale Goose Island Beer Co.,35,30,9,41,74,89,1,164,43,4,22
Pale Ales,American Pale Ale,Peacemaker Pale Ale,Lonerider Brewing Company,United States,5.7,3.66,81,179,Active,Peacemaker Pale Ale Lonerider Brewing Company,17,25,11,35,27,40,0,51,51,2,28
Pale Ales,American Pale Ale,Pale Ale,Uinta Brewing Company,United States,4,3.59,87,172,Active,Pale Ale Uinta Brewing Company,12,31,8,68,29,16,0,22,78,1,76
Pale Ales,American Pale Ale,Seven Gates,Spring House Brewing Company,United States,5.6,3.61,91,167,Active,Seven Gates Spring House Brewing Company,15,35,9,36,37,18,1,28,47,2,60
Pale Ales,American Pale Ale,Blood Orange Pale Ale,Great South Bay Brewery,United States,5,3.55,38,219,Active,Blood Orange Pale Ale Great South Bay Brewery,34,32,12,51,39,49,1,55,82,3,61
Pale Ales,American Pale Ale,Snake River Pale Ale,Snake River Brewing Company & Brewpub,United States,5.2,3.73,125,130,Active,Snake River Pale Ale Snake River Brewing Company & Brewpub,15,20,2,26,33,70,3,78,40,2,24
Pale Ales,American Pale Ale,Dribble Belt,Russian River Brewing Company,United States,4.5,4.03,30,224,Active,Dribble Belt Russian River Brewing Company,17,31,7,52,37,30,0,40,70,3,39
Pale Ales,American Pale Ale,Rhyme & Reason,Collective Arts Brewing,Canada,5.7,3.96,71,181,Active,Rhyme & Reason Collective Arts Brewing,24,20,1,33,33,27,1,43,57,2,11
Pale Ales,American Pale Ale,Elaborate Metaphor,Burlington Beer Co.,United States,5.4,4.15,58,193,Active,Elaborate Metaphor Burlington Beer Co.,23,30,6,39,53,64,1,79,52,0,30
Pale Ales,American Pale Ale,Small Bird Series: Pocket Pigeon,Trillium Brewing Company,United States,5.4,4.19,45,203,Active,Small Bird Series: Pocket Pigeon Trillium Brewing Company,16,22,11,27,55,69,2,89,32,0,15
Pale Ales,American Pale Ale,Simcoe Pale Ale,Hill Farmstead Brewery,United States,5.2,4.26,48,199,Active,Simcoe Pale Ale Hill Farmstead Brewery,27,36,2,44,66,88,3,123,72,3,22
Pale Ales,American Pale Ale,Fort Point Pale Ale - Nelson Double Dry Hopped,Trillium Brewing Company,United States,6.6,4.32,37,209,Active,Fort Point Pale Ale - Nelson Double Dry Hopped Trillium Brewing Company,39,49,6,86,87,88,3,149,120,8,31
Pale Ales,American Pale Ale,Patina Pale Ale,Austin Street Brewery,United States,5.3,4.12,46,200,Active,Patina Pale Ale Austin Street Brewery,36,47,16,60,91,89,0,162,79,7,30
Pale Ales,American Pale Ale,Pale Ale,Good People Brewing Company,United States,5.6,3.68,45,200,Active,Pale Ale Good People Brewing Company,21,54,13,55,71,73,2,118,83,4,39
Pale Ales,American Pale Ale,The Vaporizer,Double Mountain Brewery & Taproom,United States,6,3.65,63,179,Active,The Vaporizer Double Mountain Brewery & Taproom,17,33,4,50,56,59,0,83,84,0,38
Pale Ales,American Pale Ale,Primal Pale Ale,Evolution Craft Brewing Company,United States,5,3.45,63,179,Active,Primal Pale Ale Evolution Craft Brewing Company,30,22,5,46,7,16,0,19,60,4,21
Pale Ales,American Pale Ale,Charlatan,Maplewood Brewery & Distillery,United States,6.1,3.98,51,191,Active,Charlatan Maplewood Brewery & Distillery,9,11,2,26,20,28,0,33,36,1,32
Pale Ales,American Pale Ale,Pride & Purpose,Tree House Brewing Company,United States,5.1,4.23,46,196,Active,Pride & Purpose Tree House Brewing Company,6,26,2,36,21,18,1,22,51,4,31
Pale Ales,American Pale Ale,Pale Ale,Upslope Brewing Company - Lee Hill,United States,5.8,3.61,62,175,Active,Pale Ale Upslope Brewing Company - Lee Hill,14,30,6,31,62,70,1,102,54,2,19
Pale Ales,American Pale Ale,Karma Emulsion,Hill Farmstead Brewery,United States,5.2,4.25,38,199,Active,Karma Emulsion Hill Farmstead Brewery,22,19,8,59,34,41,1,45,87,5,51
Pale Ales,American Pale Ale,Canuck Pale Ale,Great Lakes Brewery,Canada,5.2,3.83,105,131,Active,Canuck Pale Ale Great Lakes Brewery,20,45,7,34,54,54,1,92,63,1,25
Pale Ales,American Pale Ale,Striped Bass Pale Ale,Devils Backbone Brewing Company,United States,5,3.37,47,183,Active,Striped Bass Pale Ale Devils Backbone Brewing Company,15,15,3,43,41,53,1,72,66,0,24
Pale Ales,American Pale Ale,Superfun!,Other Half Brewing Company,United States,4.2,4.05,31,195,Active,Superfun! Other Half Brewing Company,16,31,9,54,19,20,3,21,76,4,52
Pale Ales,American Pale Ale,Chesapeake Pale Ale,Alewerks Brewing Company,United States,5.6,3.61,91,134,Active,Chesapeake Pale Ale Alewerks Brewing Company,17,30,6,40,42,48,3,70,64,5,18
Pale Ales,American Pale Ale,Hop Skip,BrickStone Restaurant & Brewery,United States,7.5,4.01,32,193,Active,Hop Skip BrickStone Restaurant & Brewery,11,19,10,43,17,27,0,39,59,3,17
Pale Ales,American Pale Ale,Derivative: Citra,Proclamation Ale Company,United States,6,4.31,56,168,Active,Derivative: Citra Proclamation Ale Company,12,26,0,39,33,49,2,61,45,1,31
Pale Ales,American Pale Ale,Red Racer Northwest Pale Ale,Central City Brewers + Distillers,Canada,5,3.81,121,103,Active,Red Racer Northwest Pale Ale Central City Brewers + Distillers,28,47,7,47,91,101,1,149,62,2,31
Pale Ales,American Pale Ale,Amazeballs,Peekskill Brewery,United States,4.7,4.23,24,199,Active,Amazeballs Peekskill Brewery,16,27,4,50,68,67,1,97,61,1,43
Pale Ales,American Pale Ale,Riwaka Pale Ale,Hill Farmstead Brewery,United States,5.2,4.3,44,176,Active,Riwaka Pale Ale Hill Farmstead Brewery,16,21,7,46,57,58,2,88,51,2,35
Pale Ales,American Pale Ale,Simcoe Sensation,Odd Side Ales,United States,4.5,3.79,31,188,Active,Simcoe Sensation Odd Side Ales,16,28,7,39,59,58,0,96,60,22,24
Pale Ales,American Pale Ale,Original Pub Style,Gritty McDuff's Brewing Company,United States,4.5,3.34,122,97,Active,Original Pub Style Gritty McDuff's Brewing Company,36,43,18,81,66,65,2,93,120,5,40
Pale Ales,American Pale Ale,Gamma Ray APA,Beavertown Brewery,United Kingdom,5.4,3.92,42,175,Active,Gamma Ray APA Beavertown Brewery,10,38,10,25,16,10,0,14,37,5,45
Pale Ales,American Pale Ale,Pale Ale,Kirkland Signature / Costco Wholesale Corporation,United States,5.4,3.08,88,128,Active,Pale Ale Kirkland Signature / Costco Wholesale Corporation,17,17,8,45,39,72,1,84,54,3,14
Pale Ales,American Pale Ale,UniversAle Pale,Fremont Brewing Company,United States,5.6,3.69,41,174,Active,UniversAle Pale Fremont Brewing Company,8,22,3,34,12,10,1,12,40,1,33
Pale Ales,American Pale Ale,Pemi Pale Ale,Woodstock Inn Brewery,United States,5.7,3.32,83,132,Active,Pemi Pale Ale Woodstock Inn Brewery,9,25,9,33,50,55,0,72,43,5,24
Pale Ales,American Pale Ale,Commotion,Great Raft Brewing,United States,5.5,3.9,44,170,Active,Commotion Great Raft Brewing,19,34,4,42,16,21,1,25,56,1,27
Pale Ales,American Pale Ale,Maz,Omnipollo,Sweden,5.6,3.92,61,151,Active,Maz Omnipollo,8,36,14,56,40,35,1,40,69,4,66
Pale Ales,American Pale Ale,Essential Pale Ale,Port City Brewing,United States,5.5,3.56,66,144,Active,Essential Pale Ale Port City Brewing,34,51,15,75,109,117,4,186,86,8,67
Pale Ales,American Pale Ale,Sweet As! Pacific Ale,GoodLife Brewing Company & Bier Hall,United States,6,3.81,50,160,Active,Sweet As! Pacific Ale GoodLife Brewing Company & Bier Hall,13,23,7,54,39,49,6,62,67,1,41
Pale Ales,American Pale Ale,Small Bird Series: Itty-Bitty Goose,Trillium Brewing Company,United States,5,4.05,35,173,Active,Small Bird Series: Itty-Bitty Goose Trillium Brewing Company,19,38,9,44,69,48,1,81,71,1,54
Pale Ales,American Pale Ale,OPA - Oatmeal Pale Ale,Ranger Creek Brewing & Distilling,United States,5.8,3.77,37,170,Active,OPA - Oatmeal Pale Ale Ranger Creek Brewing & Distilling,14,32,4,33,50,75,5,109,51,4,38
Pale Ales,American Pale Ale,Little Wolf,Zero Gravity Craft Brewery,United States,4.7,3.85,45,158,Active,Little Wolf Zero Gravity Craft Brewery,15,59,16,74,31,39,0,42,96,1,74
Pale Ales,American Pale Ale,Temporal Purgatory,18th Street Brewery - Gary Taproom,United States,5.9,4.11,31,171,Active,Temporal Purgatory 18th Street Brewery - Gary Taproom,24,24,7,29,26,36,0,54,44,2,24
Pale Ales,American Pale Ale,The Down Low,Lagunitas Brewing Company,United States,3.9,3.81,59,142,Active,The Down Low Lagunitas Brewing Company,15,22,13,40,62,53,1,78,58,4,40
Pale Ales,American Pale Ale,The Space In Between,Lawson's Finest Liquids,United States,5,3.96,52,148,Active,The Space In Between Lawson's Finest Liquids,14,34,11,68,42,48,0,68,88,7,30
Pale Ales,American Pale Ale,Pale Ale,Saint Archer Brewing Co.,United States,5.5,3.7,37,162,Active,Pale Ale Saint Archer Brewing Co.,16,29,10,41,51,75,1,96,61,1,27
Pale Ales,American Pale Ale,Trademark Pale Ale,Breckenridge Brewery,United States,5.7,3.45,150,46,Active,Trademark Pale Ale Breckenridge Brewery,18,16,4,39,11,22,0,26,46,1,11
Pale Ales,American Pale Ale,Thunder Ann,Jackalope Brewing Company,United States,5.5,3.7,25,170,Active,Thunder Ann Jackalope Brewing Company,17,49,8,53,27,25,0,23,68,0,49
Pale Ales,American Pale Ale,Citra,Oakham Ales / The Brewery Tap,United Kingdom,4.6,3.88,66,128,Active,Citra Oakham Ales / The Brewery Tap,10,24,2,33,30,35,0,50,43,1,22
Pale Ales,American Pale Ale,Pure Fury,Rhinegeist Brewery,United States,5.7,3.85,37,155,Active,Pure Fury Rhinegeist Brewery,21,28,8,43,64,61,2,101,58,4,26
Pale Ales,American Pale Ale,Capital Trail Pale Ale,Hardywood Park Craft Brewery,United States,5.6,3.83,29,160,Active,Capital Trail Pale Ale Hardywood Park Craft Brewery,32,46,9,65,47,54,2,78,80,3,67
Pale Ales,American Pale Ale,Pintail Pale Ale,Karl Strauss Brewing Company,United States,5.3,3.76,49,139,Active,Pintail Pale Ale Karl Strauss Brewing Company,21,26,9,51,26,31,0,36,83,3,32
Pale Ales,American Pale Ale,Tools Of The Trade,Industrial Arts Brewing Company,United States,4.8,3.91,55,132,Active,Tools Of The Trade Industrial Arts Brewing Company,22,31,5,40,46,43,0,48,62,6,48
Pale Ales,American Pale Ale,Alley Time,Spiteful Brewing,United States,6,3.92,29,156,Active,Alley Time Spiteful Brewing,39,29,5,55,58,64,3,96,77,5,33
Pale Ales,American Pale Ale,East Hill,Tree House Brewing Company,United States,5.2,4.25,29,155,Active,East Hill Tree House Brewing Company,21,24,2,27,20,22,0,32,47,3,29
Pale Ales,American Pale Ale,Big Mountain,Alaskan Brewing Co.,United States,5.7,3.82,46,138,Active,Big Mountain Alaskan Brewing Co.,27,37,6,33,61,77,0,112,47,2,25
Pale Ales,American Pale Ale,Harvest Ale,Muskoka Brewery,Canada,7,3.95,79,105,Active,Harvest Ale Muskoka Brewery,15,30,4,41,33,32,0,49,57,2,26
Pale Ales,American Pale Ale,Rebirth Pale Ale,New Orleans Lager & Ale Brewing Company (NOLA),United States,5,3.71,23,161,Active,Rebirth Pale Ale New Orleans Lager & Ale Brewing Company (NOLA),11,30,11,40,41,24,0,33,65,1,52
Pale Ales,American Pale Ale,Yona Yona Ale,Yo-Ho Brewing Company,Japan,5.5,3.8,69,113,Active,Yona Yona Ale Yo-Ho Brewing Company,14,22,1,30,16,20,0,23,29,1,33
Pale Ales,American Pale Ale,Broken Spoke,The Alchemist,United States,6,4.22,34,148,Active,Broken Spoke The Alchemist,14,32,5,28,42,33,2,40,46,4,35
Pale Ales,American Pale Ale,Humulus Nimbus Super Pale Ale,Seventh Son Brewing Co.,United States,6,3.94,29,152,Active,Humulus Nimbus Super Pale Ale Seventh Son Brewing Co.,12,36,5,50,42,55,1,80,88,3,37
Pale Ales,American Pale Ale,Baked Goods,Clown Shoes,United States,5.5,3.84,41,135,Active,Baked Goods Clown Shoes,17,18,2,39,48,33,2,61,66,3,34
Pale Ales,Belgian Blonde Ale,Leffe Blonde,Abbaye de Leffe S.A.,Belgium,6.6,3.58,"1,513","2,822",Active,Leffe Blonde Abbaye de Leffe S.A.,21,34,14,63,46,53,3,77,90,3,43
Pale Ales,Belgian Blonde Ale,Redemption,Russian River Brewing Company,United States,5.15,4.02,570,"1,124",Active,Redemption Russian River Brewing Company,7,12,0,8,21,6,1,19,11,27,13
Pale Ales,Belgian Blonde Ale,Affligem Blond,Brouwerij De Smedt / Brouwerij Affligem,Belgium,6.8,3.9,548,741,Active,Affligem Blond Brouwerij De Smedt / Brouwerij Affligem,30,30,7,20,24,36,2,48,24,15,32
Pale Ales,Belgian Blonde Ale,Trappist Westvleteren Blond,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Belgium,5.8,4.26,470,523,Active,Trappist Westvleteren Blond Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),12,29,16,14,41,24,1,38,25,12,36
Pale Ales,Belgian Blonde Ale,Devotion,The Lost Abbey,United States,6,3.87,360,604,Active,Devotion The Lost Abbey,29,33,13,29,31,44,2,58,38,27,35
Pale Ales,Belgian Blonde Ale,Grimbergen Blonde,Brouwerij Alken-Maes,Belgium,6.7,3.7,348,456,Active,Grimbergen Blonde Brouwerij Alken-Maes,26,24,8,45,20,24,0,30,56,18,25
Pale Ales,Belgian Blonde Ale,Maredsous 6 - Blonde,Brouwerij Duvel Moortgat NV,Belgium,6.5,3.85,226,374,Active,Maredsous 6 - Blonde Brouwerij Duvel Moortgat NV,10,19,11,17,46,39,1,43,21,20,30
Pale Ales,Belgian Blonde Ale,Single Fermented Belgian Golden Ale,Brouwerij Duvel Moortgat NV,Belgium,6.8,3.91,230,346,Active,Single Fermented Belgian Golden Ale Brouwerij Duvel Moortgat NV,11,37,10,17,51,25,0,36,31,14,55
Pale Ales,Belgian Blonde Ale,Saxo,Brasserie Caracole,Belgium,8,3.89,238,186,Active,Saxo Brasserie Caracole,45,27,14,36,36,51,2,66,41,29,27
Pale Ales,Belgian Blonde Ale,La Trappe Blond (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,Netherlands,6.5,3.76,164,208,Active,La Trappe Blond (Koningshoeven / Dominus) Bierbrouwerij De Koningshoeven B.V.,16,39,16,11,79,68,3,87,43,22,46
Pale Ales,Belgian Blonde Ale,Augustijn Blond,Brouwerij Van Steenberge N.V.,Belgium,7,3.73,140,209,Active,Augustijn Blond Brouwerij Van Steenberge N.V.,13,30,11,11,25,20,0,33,11,20,23
Pale Ales,Belgian Blonde Ale,Rince Cochon,Difcom,France,8.5,3.66,80,201,Active,Rince Cochon Difcom,22,23,12,15,51,33,1,60,29,42,33
Pale Ales,Belgian Blonde Ale,Troubadour Blond Ale,The Musketeers Brouwerijcafé,Belgium,6.5,3.96,164,116,Active,Troubadour Blond Ale The Musketeers Brouwerijcafé,11,24,28,12,34,23,0,30,20,17,31
Pale Ales,Belgian Blonde Ale,Kasteel Blond,Brouwerij Van Honsebrouck N.V.,Belgium,7,3.88,159,96,Active,Kasteel Blond Brouwerij Van Honsebrouck N.V.,17,42,25,23,59,49,0,72,46,29,63
Pale Ales,Belgian Blonde Ale,Petrus Blond,De Brabandere,Belgium,6.6,3.5,123,124,Active,Petrus Blond De Brabandere,6,31,13,12,31,23,0,34,19,13,25
Pale Ales,Belgian Blonde Ale,War Bird,Pipeworks Brewing Company,United States,4.5,3.85,58,182,Active,War Bird Pipeworks Brewing Company,18,22,6,32,60,40,0,46,42,12,44
Pale Ales,Belgian Blonde Ale,Blond,Brasserie de l'Abbaye du Val-Dieu,Belgium,6,3.85,123,107,Active,Blond Brasserie de l'Abbaye du Val-Dieu,26,40,12,58,47,86,6,126,69,17,37
Pale Ales,Belgian Blonde Ale,St. Feuillien Blonde,Brasserie St. Feuillien,Belgium,7.5,3.87,83,136,Active,St. Feuillien Blonde Brasserie St. Feuillien,18,21,12,23,35,37,0,46,26,19,28
Pale Ales,Belgian Blonde Ale,Lunatic Blonde,Wicked Weed Brewing,United States,6.5,3.87,41,159,Active,Lunatic Blonde Wicked Weed Brewing,18,27,12,25,56,48,0,54,49,21,26
Pale Ales,Belgian Blonde Ale,Bink Blond,Brouwerij Kerkom,Belgium,5.5,3.79,92,56,Active,Bink Blond Brouwerij Kerkom,14,28,12,20,36,34,2,50,35,20,35
Pale Ales,Belgian Blonde Ale,Single Fin,Kane Brewing Company,United States,5.4,3.81,21,127,Active,Single Fin Kane Brewing Company,18,39,14,40,53,42,1,50,56,24,51
Pale Ales,Belgian Blonde Ale,Blond,Brouwerij Hof Ten Dormaal,Belgium,8,3.93,62,80,Active,Blond Brouwerij Hof Ten Dormaal,20,41,8,14,23,34,2,38,20,29,28
Pale Ales,Belgian Blonde Ale,Kapittel Blond,Leroy Breweries,Belgium,6.5,3.6,79,48,Active,Kapittel Blond Leroy Breweries,24,44,26,20,64,83,0,81,46,36,55
Pale Ales,Belgian Blonde Ale,Tongerlo Blond,Brouwerij Haacht NV,Belgium,6,3.47,47,68,Active,Tongerlo Blond Brouwerij Haacht NV,26,48,14,28,68,44,0,60,35,17,57
Pale Ales,Belgian Blonde Ale,Twisted Monkey,Victory Brewing Company - Downingtown,United States,5.8,3.57,41,71,Active,Twisted Monkey Victory Brewing Company - Downingtown,13,34,13,30,44,24,0,29,33,24,55
Pale Ales,Belgian Blonde Ale,"Duvel 6,66%",Brouwerij Duvel Moortgat NV,Belgium,6.66,4.01,39,51,Active,"Duvel 6,66% Brouwerij Duvel Moortgat NV",19,29,8,5,42,35,1,70,11,15,11
Pale Ales,Belgian Blonde Ale,Southside Blonde,Perennial Artisan Ales,United States,5.5,3.8,22,67,Active,Southside Blonde Perennial Artisan Ales,17,36,32,46,41,44,1,74,72,36,38
Pale Ales,Belgian Blonde Ale,La Fringante,Unibroue,Canada,10,4.12,58,30,Active,La Fringante Unibroue,19,25,13,20,40,43,1,58,34,19,28
Pale Ales,Belgian Blonde Ale,Brunehaut Blonde,Brasserie De Brunehaut,Belgium,6.5,3.52,28,47,Active,Brunehaut Blonde Brasserie De Brunehaut,26,51,48,15,69,82,1,114,21,46,46
Pale Ales,Belgian Blonde Ale,Steenbrugge Blond,Brouwerij Palm NV,Belgium,6.5,3.62,33,40,Active,Steenbrugge Blond Brouwerij Palm NV,13,56,14,20,45,41,5,56,45,22,58
Pale Ales,Belgian Blonde Ale,Abbaye De Floreffe Blonde,Brasserie Lefèbvre SA,Belgium,6.3,3.58,26,43,Active,Abbaye De Floreffe Blonde Brasserie Lefèbvre SA,13,44,20,26,64,57,0,66,45,30,63
Pale Ales,Belgian Blonde Ale,La Gauloise Blonde,Brasserie Du Bocq,Belgium,6.3,3.57,32,32,Active,La Gauloise Blonde Brasserie Du Bocq,12,33,11,23,69,41,3,50,42,16,60
Pale Ales,Belgian Blonde Ale,Everything Nice,Brewery Ommegang,United States,9,3.98,34,24,Active,Everything Nice Brewery Ommegang,12,26,18,29,41,44,2,51,33,23,39
Pale Ales,Belgian Blonde Ale,Valeir Blond,Brouwerij Contreras,Belgium,6.5,3.8,32,26,Active,Valeir Blond Brouwerij Contreras,13,35,29,17,46,15,3,24,18,126,65
Pale Ales,Belgian Blonde Ale,'t Smisje Blond,Brouwerij Smisje,Belgium,6,3.19,46,8,Active,'t Smisje Blond Brouwerij Smisje,19,36,12,30,77,63,1,66,38,17,50
